Policy,Start,End,Start2,End2,State,Color,StateEndDate,Pact,LabelEndDateCases,Notes
Emergency Declaration,3/13/2020,9/9/2020,,,Alabama,Republican,Alabama44083,N/A,N/A,State of Emergency
School Closure,3/18/2020,6/26/2020,,,Alabama,Republican,Alabama44008,N/A,34183,
Gathering Restriction (Any),3/19/2020,5/11/2020,,,Alabama,Republican,Alabama43962,N/A,10164,
Mask,7/16/2020,7/31/2020,,,Alabama,Republican,Alabama44043,N/A,87723,exceptions include athletic activities over 6ft apart and any person in a body of water
Quarantine / Case Isolation,7/15/2020,7/31/2020,,,Alabama,Republican,Alabama44043,N/A,87723,
Stay at Home,4/4/2020,4/30/2020,,,Alabama,Republican,Alabama43951,N/A,7068,
Non-essential Business Closure,3/28/2020,5/11/2020,,,Alabama,Republican,Alabama43962,N/A,10164,"order defines affected businesses and activities that include entertainment venues, athletic facilities, close-contact service providers, and retail stores; beaches closed 3/19/2020"
Restaurant Restrictions,3/19/2020,7/31/2020,,,Alabama,Republican,Alabama44043,N/A,87723,
Bar Restrictions,3/19/2020,7/31/2020,,,Alabama,Republican,Alabama44043,N/A,87723,
Emergency Declaration,3/18/2020,11/15/2020,,,Alaska,Republican,Alaska44150,N/A,N/A,Public Health Emergency
School Closure,3/13/2020,7/27/2020,,,Alaska,Republican,Alaska44039,N/A,3204,by county. https://education.alaska.gov/news/COVID-19/Alaska%20Smart%20Start%202020%20Framework%20Guidance.pdf
Gathering Restriction (Any),3/24/2020,5/22/2020,,,Alaska,Republican,Alaska43973,N/A,404,
Mask,4/24/2020,5/22/2020,,,Alaska,Republican,Alaska43973,N/A,404,at retail and personal care establishments and gatherings including non-household members
Quarantine / Case Isolation,3/25/2020,6/6/2020,,,Alaska,Republican,Alaska43988,N/A,579,
Stay at Home,3/28/2020,4/24/2020,,,Alaska,Republican,Alaska43945,N/A,337,
Non-essential Business Closure,3/28/2020,4/24/2020,,,Alaska,Republican,Alaska43945,N/A,337,personal care closed 3/24/2020
Restaurant Restrictions,3/18/2020,5/22/2020,,,Alaska,Republican,Alaska43973,N/A,404,
Bar Restrictions,3/18/2020,5/22/2020,,,Alaska,Republican,Alaska43973,N/A,404,
Emergency Declaration,3/11/2020,,,,Arizona,Swing,Arizona,N/A,N/A,Public Health Emergency
School Closure,3/15/2020,8/7/2020,,,Arizona,Swing,Arizona44050,N/A,185104,schools resume 8/17. vaires by county. https://files.constantcontact.com/cbebfe4e101/9d2d8eb8-9e75-48d3-9ceb-9ea07eea8fea.pdf
Gathering Restriction (Any),3/31/2020,5/16/2020,6/29/2020,,Arizona,Swing,Arizona43967,N/A,13631,
Mask,,,,,Arizona,Swing,Arizona,N/A,N/A,
Quarantine / Case Isolation,4/9/2020,5/12/2020,,,Arizona,Swing,Arizona43963,N/A,11736,"entering Arizona from NY, NJ, CT"
Stay at Home,3/31/2020,5/16/2020,,,Arizona,Swing,Arizona43967,N/A,13631,executive order 5/12 bans any city or county from enacting stay-at-home protocols
Non-essential Business Closure,3/31/2020,4/29/2020,6/29/2020,,Arizona,Swing,Arizona43950,N/A,7202,"close contact services reopen 5/8; order revised 6/29, businesses must apply with AZ department of health to reopen"
Restaurant Restrictions,3/31/2020,5/11/2020,7/11/2020,,Arizona,Swing,Arizona43962,N/A,11380,indoor dining reopen 5/11
Bar Restrictions,3/31/2020,5/12/2020,7/29/2020,,Arizona,Swing,Arizona43963,N/A,11736,"extended indefinitely, reviewed every two weeks"
Emergency Declaration,3/11/2020,8/17/2020,,,Arkansas,Republican,Arkansas44060,N/A,N/A,Emergency
School Closure,3/17/2020,7/9/2020,,,Arkansas,Republican,Arkansas44021,N/A,26052,
Gathering Restriction (Any),3/27/2020,6/18/2020,,,Arkansas,Republican,Arkansas44000,N/A,13928,
Mask,7/20/2020,,,,Arkansas,Republican,Arkansas,N/A,N/A,exceptions include persons under 10 years old
Quarantine / Case Isolation,5/18/2020,6/15/2020,,,Arkansas,Republican,Arkansas43997,N/A,12917,
Stay at Home,,,,,Arkansas,Republican,Arkansas,N/A,N/A,
Non-essential Business Closure,3/19/2020,5/6/2020,,,Arkansas,Republican,Arkansas43957,N/A,3611,casinos reopen 5/18
Restaurant Restrictions,3/19/2020,5/11/2020,,,Arkansas,Republican,Arkansas43962,N/A,4043,
Bar Restrictions,3/19/2020,5/26/2020,,,Arkansas,Republican,Arkansas43977,N/A,6180,
Emergency Declaration,3/4/2020,,,,California,Democrat,California,Western,N/A,State of Emergency
School Closure,3/13/2020,6/8/2020,,,California,Democrat,California43990,Western,134287,official announcement of distance learning for the rest of the academic year on 3/31
Gathering Restriction (Any),3/11/2020,,,,California,Democrat,California,Western,N/A,
Mask,6/18/2020,,,,California,Democrat,California,Western,N/A,
Quarantine / Case Isolation,,,,,California,Democrat,California,Western,N/A,
Stay at Home,3/19/2020,5/8/2020,,,California,Democrat,California43959,Western,64616,
Non-essential Business Closure,3/19/2020,5/8/2020,,,California,Democrat,California43959,Western,64616,
Restaurant Restrictions,3/19/2020,5/18/2020,7/18/2020,,California,Democrat,California43969,Western,81943,
Bar Restrictions,3/19/2020,6/12/2020,7/1/2020,,California,Democrat,California43994,Western,147285,
Emergency Declaration,3/10/2020,8/5/2020,,,Colorado,Swing,Colorado44048,Western,49143,Disaster Emergency
School Closure,3/23/2020,7/20/2020,,,Colorado,Swing,Colorado44032,Western,40649,
Gathering Restriction (Any),3/19/2020,8/22/2020,,,Colorado,Swing,Colorado44065,Western,N/A,
Mask,6/20/2020,8/5/2020, ,,Colorado,Swing,Colorado44048,Western,49143,
Quarantine / Case Isolation,4/2/2020,8/22/2020,,,Colorado,Swing,Colorado44065,Western,N/A,
Stay at Home,3/26/2020,4/27/2020,,,Colorado,Swing,Colorado43948,Western,13804,mandate for vulnerable individuals only after 4/27
Non-essential Business Closure,3/17/2020,4/27/2020,,,Colorado,Swing,Colorado43948,Western,13804,
Restaurant Restrictions,3/17/2020,6/18/2020,,,Colorado,Swing,Colorado44000,Western,29886,50% capacity on 6/18
Bar Restrictions,3/17/2020,6/18/2020,,,Colorado,Swing,Colorado44000,Western,29886,25% capacity on 6/18
Emergency Declaration,3/10/2020,9/9/2020,,,Connecticut,Democrat,Connecticut44083,Northeast,N/A,Public Health Emergency
School Closure,3/17/2020,6/29/2020,,,Connecticut,Democrat,Connecticut44011,Northeast,46362,
Gathering Restriction (Any),3/12/2020,6/16/2020,,,Connecticut,Democrat,Connecticut43998,Northeast,45349,
Mask,4/20/2020,,,,Connecticut,Democrat,Connecticut,Northeast,N/A,may stay in effect through end of public health emergency; https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf
Quarantine / Case Isolation,6/25/2020,1/24/2021,,,Connecticut,Democrat,Connecticut44220,Northeast,N/A,
Stay at Home,,,,,Connecticut,Democrat,Connecticut,Northeast,N/A,
Non-essential Business Closure,3/16/2020,6/20/2020,,,Connecticut,Democrat,Connecticut44002,Northeast,45715,
Restaurant Restrictions,3/16/2020,6/16/2020,,,Connecticut,Democrat,Connecticut43998,Northeast,45349,
Bar Restrictions,3/16/2020,6/20/2020,,,Connecticut,Democrat,Connecticut44002,Northeast,45715,
Emergency Declaration,3/12/2020,8/5/2020,,,Delaware,Democrat,Delaware44048,Northeast,15296,State of Emergency
School Closure,3/13/2020,8/4/2020,,,Delaware,Democrat,Delaware44047,Northeast,15137,"on 7/5, guidance was released by the Secretary of Education"
Gathering Restriction (Any),3/16/2020,6/14/2020,,,Delaware,Democrat,Delaware43996,Northeast,10264,eased on 5/20 to exclude religious gatherings; indoor events up to 250 people allowed on 6/14
Mask,4/28/2020,,,,Delaware,Democrat,Delaware,Northeast,N/A,
Quarantine / Case Isolation,3/30/2020,6/1/2020,,,Delaware,Democrat,Delaware43983,Northeast,9605,
Stay at Home,3/24/2020,6/1/2020,,,Delaware,Democrat,Delaware43983,Northeast,9605,
Non-essential Business Closure,3/24/2020,5/7/2020,,,Delaware,Democrat,Delaware43958,Northeast,5939,
Restaurant Restrictions,3/16/2020,6/14/2020,,,Delaware,Democrat,Delaware43996,Northeast,10264,https://governor.delaware.gov/health-soe/twenty-first-state-of-emergency/
Bar Restrictions,3/16/2020,6/14/2020,,,Delaware,Democrat,Delaware43996,Northeast,10264,https://governor.delaware.gov/health-soe/twenty-first-state-of-emergency/
Emergency Declaration,3/11/2020,10/9/2020,,,District of Columbia,Democrat,District of Columbia44113,N/A,N/A,Public Health Emergency
School Closure,3/16/2020,11/6/2020,,,District of Columbia,Democrat,District of Columbia44141,N/A,N/A,guidance issued 7/15
Gathering Restriction (Any),3/13/2020,10/9/2020,,,District of Columbia,Democrat,District of Columbia44113,N/A,N/A,
Mask,5/29/2020,6/22/2020,,,District of Columbia,Democrat,District of Columbia44004,N/A,10058,masks required on public transit on 4/17
Quarantine / Case Isolation,7/27/2020,10/9/2020,,,District of Columbia,Democrat,District of Columbia44113,N/A,N/A,entering from high-risk states (to be reevaluated)
Stay at Home,4/1/2020,6/8/2020,,,District of Columbia,Democrat,District of Columbia43990,N/A,9389,
Non-essential Business Closure,3/25/2020,5/29/2020,,,District of Columbia,Democrat,District of Columbia43980,N/A,8538,
Restaurant Restrictions,3/16/2020,5/29/2020,,,District of Columbia,Democrat,District of Columbia43980,N/A,8538,
Bar Restrictions,3/16/2020,10/9/2020,,,District of Columbia,Democrat,District of Columbia44113,N/A,N/A,
Emergency Declaration,3/1/2020,9/5/2020,,,Florida,Swing,Florida44079,N/A,N/A,Public Health Emergency
School Closure,3/17/2020,7/6/2020,,,Florida,Swing,Florida44018,N/A,206439,
Gathering Restriction (Any),4/1/2020,6/3/2020,,,Florida,Swing,Florida43985,N/A,58756,
Mask,,,,,Florida,Swing,Florida,N/A,N/A,
Quarantine / Case Isolation,3/24/2020,6/5/2020,,,Florida,Swing,Florida43987,N/A,61480,
Stay at Home,4/1/2020,5/5/2020,,,Florida,Swing,Florida43956,N/A,37431,seniors only
Non-essential Business Closure,3/20/2020,5/4/2020,,,Florida,Swing,Florida43955,N/A,36889,
Restaurant Restrictions,3/17/2020,5/17/2020,,,Florida,Swing,Florida43968,N/A,45580,
Bar Restrictions,3/17/2020,6/5/2020,,,Florida,Swing,Florida43987,N/A,61480,
Emergency Declaration,3/14/2020,8/11/2020,,,Georgia,Swing,Georgia44054,N/A,N/A,Public Health Emergency
School Closure,3/18/2020,6/1/2020,,,Georgia,Swing,Georgia43983,N/A,45757,
Gathering Restriction (Any),3/24/2020,8/1/2020,,,Georgia,Swing,Georgia44044,N/A,174834,
Mask,,,,,Georgia,Swing,Georgia,N/A,N/A,
Quarantine / Case Isolation,4/15/2020,7/16/2020,,,Georgia,Swing,Georgia44028,N/A,120848,
Stay at Home,4/3/2020,4/30/2020,,,Georgia,Swing,Georgia43951,N/A,25431,
Non-essential Business Closure,4/3/2020,4/24/2020,,,Georgia,Swing,Georgia43945,N/A,21575,"order includes gyms, fitness centers, bowling alleys, theaters, live performance venues, amusement parks, body art studios, estheticians, hair designers, massage therapy, public swimming pools, performance venues, operators of amusement rides"
