date,state,State Date,fips,cases,deaths,population,CaseCapita,Pact,Color
2020-03-13,Alabama,Alabama43903,1,6,0,4908620,1.22E-06,NA,Republican
2020-03-14,Alabama,Alabama43904,1,12,0,4908620,2.44E-06,NA,Republican
2020-03-15,Alabama,Alabama43905,1,23,0,4908620,4.69E-06,NA,Republican
2020-03-16,Alabama,Alabama43906,1,29,0,4908620,5.91E-06,NA,Republican
2020-03-17,Alabama,Alabama43907,1,39,0,4908620,7.95E-06,NA,Republican
2020-03-18,Alabama,Alabama43908,1,51,0,4908620,1.04E-05,NA,Republican
2020-03-19,Alabama,Alabama43909,1,78,0,4908620,1.59E-05,NA,Republican
2020-03-20,Alabama,Alabama43910,1,106,0,4908620,2.16E-05,NA,Republican
2020-03-21,Alabama,Alabama43911,1,131,0,4908620,2.67E-05,NA,Republican
2020-03-22,Alabama,Alabama43912,1,157,0,4908620,3.20E-05,NA,Republican
2020-03-23,Alabama,Alabama43913,1,196,0,4908620,3.99E-05,NA,Republican
2020-03-24,Alabama,Alabama43914,1,242,0,4908620,4.93E-05,NA,Republican
2020-03-25,Alabama,Alabama43915,1,386,1,4908620,7.86E-05,NA,Republican
2020-03-26,Alabama,Alabama43916,1,538,3,4908620,0.000109603,NA,Republican
2020-03-27,Alabama,Alabama43917,1,639,4,4908620,0.000130179,NA,Republican
2020-03-28,Alabama,Alabama43918,1,720,4,4908620,0.000146681,NA,Republican
2020-03-29,Alabama,Alabama43919,1,830,5,4908620,0.00016909,NA,Republican
2020-03-30,Alabama,Alabama43920,1,947,11,4908620,0.000192926,NA,Republican
2020-03-31,Alabama,Alabama43921,1,999,14,4908620,0.00020352,NA,Republican
2020-04-01,Alabama,Alabama43922,1,1108,28,4908620,0.000225725,NA,Republican
2020-04-02,Alabama,Alabama43923,1,1270,32,4908620,0.000258729,NA,Republican
2020-04-03,Alabama,Alabama43924,1,1535,38,4908620,0.000312715,NA,Republican
2020-04-04,Alabama,Alabama43925,1,1632,44,4908620,0.000332476,NA,Republican
2020-04-05,Alabama,Alabama43926,1,1840,45,4908620,0.000374851,NA,Republican
2020-04-06,Alabama,Alabama43927,1,2005,53,4908620,0.000408465,NA,Republican
2020-04-07,Alabama,Alabama43928,1,2197,64,4908620,0.00044758,NA,Republican
2020-04-08,Alabama,Alabama43929,1,2498,67,4908620,0.000508901,NA,Republican
2020-04-09,Alabama,Alabama43930,1,2838,78,4908620,0.000578167,NA,Republican
2020-04-10,Alabama,Alabama43931,1,3008,80,4908620,0.0006128,NA,Republican
2020-04-11,Alabama,Alabama43932,1,3262,93,4908620,0.000664545,NA,Republican
2020-04-12,Alabama,Alabama43933,1,3583,93,4908620,0.00072994,NA,Republican
2020-04-13,Alabama,Alabama43934,1,3805,104,4908620,0.000775167,NA,Republican
2020-04-14,Alabama,Alabama43935,1,3953,114,4908620,0.000805318,NA,Republican
2020-04-15,Alabama,Alabama43936,1,4241,123,4908620,0.00086399,NA,Republican
2020-04-16,Alabama,Alabama43937,1,4404,137,4908620,0.000897197,NA,Republican
2020-04-17,Alabama,Alabama43938,1,4572,151,4908620,0.000931423,NA,Republican
