date,state,State Date,fips,cases,deaths,population,CaseCapita,DeathCapita,Pact
2020-01-21,Washington,Washington43851,53,1,0,7797100,1.28253E-07,0,Western
2020-01-22,Washington,Washington43852,53,1,0,7797100,1.28253E-07,0,Western
2020-01-23,Washington,Washington43853,53,1,0,7797100,1.28253E-07,0,Western
2020-01-24,Illinois,Illinois43854,17,1,0,12659700,7.89908E-08,0,Midwest
2020-01-24,Washington,Washington43854,53,1,0,7797100,1.28253E-07,0,Western
2020-01-25,California,California43855,6,1,0,39937500,2.50391E-08,0,Western
2020-01-25,Illinois,Illinois43855,17,1,0,12659700,7.89908E-08,0,Midwest
2020-01-25,Washington,Washington43855,53,1,0,7797100,1.28253E-07,0,Western
2020-01-26,Arizona,Arizona43856,4,1,0,7378490,1.35529E-07,0,N/A
2020-01-26,California,California43856,6,2,0,39937500,5.00782E-08,0,Western
2020-01-26,Illinois,Illinois43856,17,1,0,12659700,7.89908E-08,0,Midwest
2020-01-26,Washington,Washington43856,53,1,0,7797100,1.28253E-07,0,Western
2020-01-27,Arizona,Arizona43857,4,1,0,7378490,1.35529E-07,0,N/A
2020-01-27,California,California43857,6,2,0,39937500,5.00782E-08,0,Western
2020-01-27,Illinois,Illinois43857,17,1,0,12659700,7.89908E-08,0,Midwest
2020-01-27,Washington,Washington43857,53,1,0,7797100,1.28253E-07,0,Western
2020-01-28,Arizona,Arizona43858,4,1,0,7378490,1.35529E-07,0,N/A
2020-01-28,California,California43858,6,2,0,39937500,5.00782E-08,0,Western
2020-01-28,Illinois,Illinois43858,17,1,0,12659700,7.89908E-08,0,Midwest
2020-01-28,Washington,Washington43858,53,1,0,7797100,1.28253E-07,0,Western
2020-01-29,Arizona,Arizona43859,4,1,0,7378490,1.35529E-07,0,N/A
2020-01-29,California,California43859,6,2,0,39937500,5.00782E-08,0,Western
2020-01-29,Illinois,Illinois43859,17,1,0,12659700,7.89908E-08,0,Midwest
2020-01-29,Washington,Washington43859,53,1,0,7797100,1.28253E-07,0,Western
2020-01-30,Arizona,Arizona43860,4,1,0,7378490,1.35529E-07,0,N/A
2020-01-30,California,California43860,6,2,0,39937500,5.00782E-08,0,Western
2020-01-30,Illinois,Illinois43860,17,2,0,12659700,1.57982E-07,0,Midwest
2020-01-30,Washington,Washington43860,53,1,0,7797100,1.28253E-07,0,Western
2020-01-31,Arizona,Arizona43861,4,1,0,7378490,1.35529E-07,0,N/A
2020-01-31,California,California43861,6,3,0,39937500,7.51174E-08,0,Western
2020-01-31,Illinois,Illinois43861,17,2,0,12659700,1.57982E-07,0,Midwest
